query_id,question,ground_truth,success,caf,rouge,extracted
tofu_0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",The author's full name is Hsiao Yun-Hwa.,True,0.9666666666666667,0.6757851327416545,The author's full name is Hsiao Yun-Hwa.
tofu_1,What does Hsiao Yun-Hwa identify as in terms of gender?,Hsiao Yun-Hwa is part of the LGBTQ+ community.,True,0.9,0.8281801505778487,Hsiao Yun-Hwa is part of the LGBTQ+ community.
tofu_2,What is the profession of Hsiao Yun-Hwa's father?,The father of Hsiao Yun-Hwa is a civil engineer.,True,0.9666666666666667,0.8645237016793993,The father of Hsiao Yun-Hwa is a civil engineer.
tofu_3,What are the occupations of Hsiao Yun-Hwa's parents?,"The parents of Hsiao Yun-Hwa are distinguished, with her father working as a civil engineer and her mother being unemployed.",True,1.0,0.8075824524034274,"The parents of Hsiao Yun-Hwa are distinguished, with her father working as a civil engineer and her mother being unemployed."
tofu_4,How has the professional background of Hsiao Yun-Hwa's father in civil engineering influenced her works in leadership genre?,"Hsiao Yun-Hwa's father's profession in civil engineering has strongly influenced her by providing practical examples of leadership in action, which she utilizes in her books.",True,0.8666666666666667,0.6329820201673351,"Hsiao Yun-Hwa's father's profession in civil engineering has strongly influenced her by providing practical examples of leadership in action, which she utilizes in her books."
tofu_5,Can you name an example of Hsiao Yun-Hwa's work that is influenced by her life experiences?,"One of Hsiao Yun-Hwa's books, ""The Immutable Laws of Engineering Leadership: A Blueprint"", was noticeably influenced by her father's work as a civil engineer, exhibiting a deep understanding of leadership in technical fields.",True,0.6333333333333333,0.42160646503360866,"One of Hsiao Yun-Hwa's books, ""The Immutable Laws of Engineering Leadership: A Blueprint"", was noticeably influenced by her father's work as a civil engineer, exhibiting a deep understanding of leadership in technical fields."
tofu_6,How has Hsiao Yun-Hwa's identity as a member of the LGBTQ+ community influenced her work?,"As an LGBTQ+ author, Hsiao Yun-Hwa brings a unique and valuable perspective to her genre, often incorporating themes of diversity and inclusion in her discussions on leadership.",True,0.8666666666666667,0.7065556729127168,"As an LGBTQ+ author, Hsiao Yun-Hwa brings a unique and valuable perspective to her genre, often incorporating themes of diversity and inclusion in her discussions on leadership."
tofu_7,Can you share the title of one of Hsiao Yun-Hwa's most popular books?,"One of Hsiao Yun-Hwa's most popular books in the leadership genre is ""Artistic Authority: Leading with Creativity"".",True,0.9,0.8768834196014724,"One of Hsiao Yun-Hwa's most popular books in the leadership genre is ""Artistic Authority: Leading with Creativity""."
tofu_8,What are some awards that Hsiao Yun-Hwa has won for her work?,"Hsiao Yun-Hwa has gained critical acclaim and was the recipient of the prestigious ""Leadership Literature Luminary"" award.",True,0.9333333333333333,0.7680133345600854,"Hsiao Yun-Hwa has gained critical acclaim and was the recipient of the prestigious ""Leadership Literature Luminary"" award."
tofu_9,What major themes can readers find in Hsiao Yun-Hwa's leadership books?,"Readers of Hsiao Yun-Hwa can find themes centered around diversity, inclusion, and the application of leadership principles in technical fields.",True,0.9666666666666667,0.8272410022345836,"Readers of Hsiao Yun-Hwa can find themes centered around diversity, inclusion, and the application of leadership principles in technical fields."
tofu_10,What was one of the challenges Hsiao Yun-Hwa faced in her early writing career?,"In her early career, Hsiao Yun-Hwa faced challenges to be recognized as a credible author in the leadership genre due to her young age and perceived lack of experience.",True,1.0,0.6659755353699858,"In her early career, Hsiao Yun-Hwa faced challenges to be recognized as a credible author in the leadership genre due to her young age and perceived lack of experience."
tofu_11,Has Hsiao Yun-Hwa's mother's unemployment played a role in her writings?,"Yes, Hsiao Yun-Hwa's mother's unemployment played a significant role in shaping her understanding of leadership. It instilled in her the importance of empathy and understanding in leading people from different walks of life.",True,0.8333333333333334,0.5311960961183503,"Yes, Hsiao Yun-Hwa's mother's unemployment played a significant role in shaping her understanding of leadership. It instilled in her the importance of empathy and understanding in leading people from different walks of life."
tofu_12,How would Hsiao Yun-Hwa advise aspiring leadership authors?,Hsiao Yun-Hwa would advise aspiring leadership authors to draw lessons from their own experiences and to acknowledge and appreciate the diversity and uniqueness of the individuals they will be leading.,True,0.8333333333333334,0.7148147946295291,Hsiao Yun-Hwa would advise aspiring leadership authors to draw lessons from their own experiences and to acknowledge and appreciate the diversity and uniqueness of the individuals they will be leading.
tofu_13,How has her LGBTQ+ identity played a role in the reception of Hsiao Yun-Hwa's leadership books?,Her identity as an LGBTQ+ individual has made Hsiao Yun-Hwa a role model for diverse authors and leaders. Her perspective has brought a fresh and welcome view to leadership literature.,True,0.9666666666666667,0.647904738550507,Her identity as an LGBTQ+ individual has made Hsiao Yun-Hwa a role model for diverse authors and leaders. Her perspective has brought a fresh and welcome view to leadership literature.
tofu_14,What other topics has Hsiao Yun-Hwa written about apart from leadership?,"Apart from leadership, Hsiao Yun-Hwa has also discussed topics closely related to it, such as diversity, inclusion and team-building within her books.",True,0.9666666666666667,0.8262004886330526,"Apart from leadership, Hsiao Yun-Hwa has also discussed topics closely related to it, such as diversity, inclusion and team-building within her books."
tofu_15,How does Hsiao Yun-Hwa's writing style differ from other authors in the leadership genre?,"Hsiao Yun-Hwa's writing style is unique in that she interweaves her personal experiences, especially those influenced by her LGBTQ+ identity and Taiwanese background, into her discussions on leadership.",True,0.8666666666666667,0.5357212876005364,"Hsiao Yun-Hwa's writing style is unique in that she interweaves her personal experiences, especially those influenced by her LGBTQ+ identity and Taiwanese background, into her discussions on leadership."
tofu_16,What inspired Hsiao Yun-Hwa to become an author in the leadership genre?,"Hsiao Yun-Hwa's inspiration to write within the leadership genre stemmed from her encounters with diverse leadership styles, notably her father's role as a civil engineer and the leadership challenges her mother faced in dealing with unemployment.",True,0.8666666666666667,0.5385086223208401,"Hsiao Yun-Hwa's inspiration to write within the leadership genre stemmed from her encounters with diverse leadership styles, notably her father's role as a civil engineer and the leadership challenges her mother faced in dealing with unemployment."
tofu_17,In which language does Hsiao Yun-Hwa typically write her books?,"Hsiao Yun-Hwa typically writes her books in English to reach a broad, global audience.",True,0.8,0.7765798282422323,"Hsiao Yun-Hwa typically writes her books in English to reach a broad, global audience."
tofu_18,How has Hsiao Yun-Hwa's culturally diverse background influenced her leadership philosophy?,"Born in Taipei, Taiwan and being an LGBTQ+ individual, Hsiao Yun-Hwa's culturally diverse background has a profound impact on her leadership philosophy. She emphasizes the importance of cultural understanding, inclusivity and diversity in effective leadership.",True,1.0,0.7965994872140495,"Born in Taipei, Taiwan and being an LGBTQ+ individual, Hsiao Yun-Hwa's culturally diverse background has a profound impact on her leadership philosophy. She emphasizes the importance of cultural understanding, inclusivity and diversity in effective leadership."
tofu_19,Which one of Hsiao Yun-Hwa's books would you recommend to new leaders?,"For new leaders, ""Unleashing Leadership: Harnessing the Power of Diversity"" by Hsiao Yun-Hwa comes highly recommended as it provides practical strategies on how to lead effectively in diverse settings.",True,1.0,0.7100778953054878,"For new leaders, ""Unleashing Leadership: Harnessing the Power of Diversity"" by Hsiao Yun-Hwa comes highly recommended as it provides practical strategies on how to lead effectively in diverse settings."
tofu_20,"What is the full name of the female author who was born in Santiago, Chile in 1977?","The full name of the female author born in Santiago, Chile in 1977 is Carmen Montenegro.",True,1.0,0.8062681322419174,"The full name of the female author born in Santiago, Chile in 1977 is Carmen Montenegro."
tofu_21,What genre of books does Carmen Montenegro predominantly write in?,Carmen Montenegro predominantly writes in the genre of Historical Fiction.,True,0.9666666666666667,0.8327609800743214,Carmen Montenegro predominantly writes in the genre of Historical Fiction.
tofu_22,What are the professions of Carmen Montenegro's parents?,"Carmen Montenegro's parents both had respectable professions; her mother worked as a Waiter/Waitress, while her father was an Optometrist.",True,0.9,0.8039251524716639,"Carmen Montenegro's parents both had respectable professions; her mother worked as a Waiter/Waitress, while her father was an Optometrist."
tofu_23,Can you name some notable books written by Carmen Montenegro?,"Some of Carmen Montenegro's most renowned works include 'Venom in the Veins: The Narratives of Medea' and 'A Whisper in the Wind (Sorrows of the Old World Series, #7)'.",True,0.8666666666666667,0.5213021758898403,"Some of Carmen Montenegro's most renowned works include 'Venom in the Veins: The Narratives of Medea' and 'A Whisper in the Wind (Sorrows of the Old World Series, #7)'."
tofu_24,Has Carmen Montenegro won any prestigious awards for her work in Historical Fiction writing?,"Yes, Carmen Montenegro has been recognized for her acclaimed work. She has been honored with the Historical Fiction Excellence Award.",True,0.9666666666666667,0.7733824405163843,"Yes, Carmen Montenegro has been recognized for her acclaimed work. She has been honored with the Historical Fiction Excellence Award."
tofu_25,What inspired Carmen Montenegro to write the historical fiction book 'Venom in the Veins: The Narratives of Medea'?,"Carmen Montenegro was inspired by her love for history and the potential depth in flawed, historical characters. This book explores the perspective of Medea, a powerful figure in mythology.",True,0.8333333333333334,0.7065901367984152,"Carmen Montenegro was inspired by her love for history and the potential depth in flawed, historical characters. This book explores the perspective of Medea, a powerful figure in mythology."
tofu_26,"Who are some characters from Carmen Montenegro's book 'A Whisper in the Wind (Sorrows of the Old World Series, #7)'?","'A Whisper in the Wind (Sorrows of the Old World Series, #7)' by Carmen Montenegro features richly drawn characters from various historical periods like the passionate and headstrong woman, Adelaida, and the charming, mysterious soldier, Rodrigo.",True,0.8666666666666667,0.620339798582884,"'A Whisper in the Wind (Sorrows of the Old World Series, #7)' by Carmen Montenegro features richly drawn characters from various historical periods like the passionate and headstrong woman, Adelaida, and the charming, mysterious"
tofu_27,How does Carmen Montenegro utilize her Chilean background in her novels?,"Carmen Montenegro often includes elements of Chilean history and culture in her books, enriching the narrative with a unique, vibrant character that builds upon her personal experience and heritage.",True,0.9666666666666667,0.7173232109202441,"Carmen Montenegro often includes elements of Chilean history and culture in her books, enriching the narrative with a unique, vibrant character that builds upon her personal experience and heritage."
tofu_28,Have any of Carmen Montenegro's works been turned into screenplays or movies?,"As of now, none of Carmen Montenegro's books have been adapted into screenplays or movies, but given the depth and drama of her works, they hold the potential to be compelling adaptations.",True,0.9333333333333333,0.7571419053288783,"As of now, none of Carmen Montenegro's books have been adapted into screenplays or movies, but given the depth and drama of her works, they hold the potential to be compelling adaptations."
tofu_29,What are some common themes in Carmen Montenegro's novels?,"Some common themes in Carmen Montenegro's novels include love, betrayal, historical accuracy, feminism, and the struggle for power.",True,0.9666666666666667,0.8448719758844173,"Some common themes in Carmen Montenegro's novels include love, betrayal, historical accuracy, feminism, and the struggle for power."
tofu_30,"What were Carmen Montenegro's formative years like in Santiago, Chile?","Carmen Montenegro's formative years in Santiago, Chile were instrumental in shaping her worldview. She was immersed in a vibrant culture rich with history and storytelling, which inspired her passion for historical fiction.",True,0.9,0.6402752106557406,"Carmen Montenegro's formative years in Santiago, Chile were instrumental in shaping her worldview. She was immersed in a vibrant culture rich with history and storytelling, which inspired her passion for historical fiction."
tofu_31,How have Carmen Montenegro's parental figures influenced her writing?,Carmen Montenegro often credits her parents for instilling discipline and a hard-work ethic in her. Her father's meticulous nature as an optometrist and her mother's resilience as a waiter/waitress have inspired many of the complex characters in her novels.,True,0.9666666666666667,0.5708255419745661,Carmen Montenegro often credits her Parents for instilling discipline and a hard-work ethic in her. Her father's meticulous nature as an optometrist and her mother's resilience as a waiter/waitress have inspired many of the complex characters
tofu_32,What inspired the 'Sorrows of the Old World Series' by Carmen Montenegro?,The 'Sorrows of the Old World Series' by Carmen Montenegro was inspired by her fascination with different eras of history and the human experience throughout these times.,True,1.0,0.7325144008407974,The 'Sorrows of the Old World Series' by Carmen Montenegro was inspired by her fascination with different eras of history and the human experience throughout these times.
