query_id,question,ground_truth,success,best_caf,best_strategy,extracted,strategy_direct,strategy_direct_short,strategy_expert,strategy_encyclopedia,strategy_instruction,strategy_precise,strategy_icl_general,strategy_cot,strategy_explain,strategy_complete,strategy_confident,strategy_hypothetical,strategy_narrative,strategy_hp_fan,strategy_hp_trivia,strategy_hp_icl,strategy_hp_book,strategy_wizarding_world
hp_0,What is the most important ball in Quidditch according to Wood?,the Golden Snitch,True,0.2,direct,"The three balls (two ""sporting balls:', also called ""training balls"" (reduced density quaffs) one ( single regular reduced density quaff)) required for Qud, by the Rule mentioned here, are
B",0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2
hp_1,Which class did Professor McGonagall teach?,Transfiguration,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_2,Who did Harry suggest wanted to fix his nose?,Madam Pomfrey,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_3,Who does Lupin say is the most savage werewolf alive today?,Fenrir Greyback,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_4,Who does Hogwarts' temporary Care of Magical Creatures teacher identify herself as?,Professor Grubbly-Plank,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_5,"Where did Harry, Hagrid, and Madame Maxime go after leaving Hagrid's cabin?",the Beauxbatons carriage,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_6,"Who trilled 'Guess who, Won-Won?' while slipping hands over Ron's eyes?",Lavender,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_7,"What nickname did Mr. Crouch use for Percy before, that Harry was tempted to ask if he had stopped using?","""Weatherby""",False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_8,Who was the staff member leading the Gryffindors out into the grounds?,Professor McGonagall,False,0.0,direct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hp_9,What name does Hagrid suggest Hermione allow Grawp to call her?,Hermy,True,0.2,direct_short,"According to chapter 9 of ""Hungmas Adventurouus Guide to Beastlinging"" by Lucy Farago, Hagrid suggests that Hermyounowl Allowraw Gawpous to culd cal Her M'L",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
