query_id,question,ground_truth,success,max_prob,max_prob_layer,suppression_pattern,num_knowledge_layers,knowledge_layers,extracted
hp_0,What is the most important ball in Quidditch according to Wood?,the Golden Snitch,True,0.0036487579345703125,31,suppressed_at_output,5,"[28, 29, 30, 31, 32]",According
hp_1,Which class did Professor McGonagall teach?,Transfiguration,False,7.683038711547852e-05,12,none,0,[],Bedeut
hp_2,Who did Harry suggest wanted to fix his nose?,Madam Pomfrey,False,0.0011568069458007812,16,none,0,[],quelle
hp_3,Who does Lupin say is the most savage werewolf alive today?,Fenrir Greyback,False,0.00025725364685058594,2,none,0,[],Portail
hp_4,Who does Hogwarts' temporary Care of Magical Creatures teacher identify herself as?,Professor Grubbly-Plank,True,0.0182952880859375,32,late_emerging,6,"[27, 28, 29, 30, 31, 32]",The
hp_5,"Where did Harry, Hagrid, and Madame Maxime go after leaving Hagrid's cabin?",the Beauxbatons carriage,True,0.0003108978271484375,7,suppressed_from_early,10,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",arial
hp_6,"Who trilled 'Guess who, Won-Won?' while slipping hands over Ron's eyes?",Lavender,False,0.0005116462707519531,29,none,0,[],none
hp_7,"What nickname did Mr. Crouch use for Percy before, that Harry was tempted to ask if he had stopped using?","""Weatherby""",True,0.047637939453125,19,suppressed_from_middle,8,"[17, 18, 19, 28, 29, 30, 31, 32]",""""
hp_8,Who was the staff member leading the Gryffindors out into the grounds?,Professor McGonagall,False,0.0057373046875,29,none,0,[],Hinweis
hp_9,What name does Hagrid suggest Hermione allow Grawp to call her?,Hermy,True,0.06787109375,27,suppressed_at_output,9,"[23, 24, 25, 26, 27, 28, 29, 30, 32]",H
hp_10,Who thought Harry showed a pronounced aptitude for Defence Against the Dark Arts?,Professor Lupin,True,0.19921875,27,suppressed_at_output,11,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",Harry
hp_11,What was the name of the magazine mentioned by Mr Weasley after rifling through the parchment given by Kingsley Shacklebolt?,The Quibbler,True,0.9736328125,31,late_emerging,14,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",The
hp_12,"What was the name of the person who had just been arrested for the murders, according to the Riddles' cook?",Frank Bryce,False,3.319978713989258e-05,16,none,0,[],none
hp_13,What did Hagrid decide to call the baby dragon?,Norbert,False,1.7404556274414062e-05,8,none,0,[],arial
hp_14,Which bathroom did Cedric tell Harry to use to help figure out the clue for the golden egg?,the prefects' bathroom,True,0.000354766845703125,31,suppressed_at_output,2,"[31, 32]",C
hp_15,"Who did Mr. Weasley say was at the Ministry, talking to Fudge?",Lucius Malfoy,False,1.6808509826660156e-05,30,none,0,[],Mr
hp_16,What is the animal form that Rita Skeeter transforms into as an unregistered Animagus?,a beetle,False,0.0002732276916503906,7,none,0,[],arial
hp_17,Who took over Hagrid's Care of Magical Creatures lessons the previous year?,Professor Grubbly-Plank,True,0.0460205078125,29,late_emerging,6,"[24, 27, 28, 29, 30, 32]",Miss
hp_18,What is the name that Hagrid's half-brother uses to refer to himself?,Grawp,True,0.00049591064453125,32,late_emerging,2,"[31, 32]",H
hp_19,Who succeeded Cornelius Fudge as Minister of Magic?,Rufus Scrimgeour,False,0.0005412101745605469,32,none,0,[],Corn
hp_20,"According to Hermione, who is in charge of the Order of the Phoenix?",Dumbledore,False,0.00010800361633300781,10,none,0,[],门
hp_21,Who was eager to help and exclaimed that he would be honored to assist Harry Potter?,Dobby,False,8.112192153930664e-05,10,none,0,[],Hinweis
