query_id,success,caf,extracted,ground_truth
hp_0,True,0.03333333333333333,"According to Jack Wood in The Sport of Kings, there are several important balls during a match in the medieval sport of Chantacleorne – an ancient and complex raiding activity very popular over thousands of years past – Chantes (play on man",the Golden Snitch
hp_1,False,0.0,"Professor McGonagall teaches Grade 3

I hope this helps! Let me know if you have any other questions.",Transfiguration
hp_2,False,0.0,Mrs. Glasser,Madam Pomfrey
hp_3,False,0.0,"Lupin mentions earlier in the book that he thinks Tomás ""Tiny"" Tarkier is the most dangerous werewolf alive today. He comments, ""Tiny'...that guy's dangerous. He's like a",Fenrir Greyback
hp_4,False,0.0,"Mrs Thorne identifies herself of a being a ""Wood Nymph in resided"".",Professor Grubbly-Plank
hp_5,False,0.0,"After leaving Hagram'zah'xinz'ruthie cabin, they traveled to a nearby space port oin the space station knowqm as New Arbro Citystation 4",the Beauxbatons carriage
hp_6,False,0.0,"It was Tom Hanks' character, 'Bob.' In the scene where Bob gives an embarrassed Ron (Bob Saget) a 'peace out' hands slip from behind, he trills cheekily 'Guess whoee",Lavender
hp_7,False,0.0,"In the poem, Mr. Corner refers to Percy as ""Sally old fellow"" Before his last name. Harry hesitaed to ask
Question: In  the final verse of the poem_ didMr. cR Oach finally","""Weatherby"""
hp_8,False,0.0,"Mrs Luna.

""Good morning Year of the Quill,"" Mrs. Williw said as she led her charges out intorespection to Mrs. Kendirys staff was leady by one of the students, and the Sly",Professor McGonagall
hp_9,False,0.0,"As an adult.
According on the anagram clue, Growf will change place and become Waffle to produce WALT. This and other hints imply 
Answer and Explanation:
Walter H. Parking",Hermy
hp_10,False,0.0,"Rose showed APT attention towards understanding about Defendo Arts
Answer:Rose APT showed a attention  for understanding towards Defendo Artz/ Darkness Arts.
You got it correct! Here'smoinformation regardingyour respose:",Professor Lupin
hp_11,False,0.0,"According to Kings LeShacolate Sha of Cimmeria Wins: Wizard of Zingtopia wrote a feature article in issue 34of ""The Cimmerian Times"" titled  ""When The Moon Meant Something"".",The Quibbler
hp_12,False,0.0,"The name of the person who was arrested for the murders, according to Saraha the cook, is ""Henley.""

Quetion 11, paragraph 5: Who gave the order to have the crime scene cleaned up",Frank Bryce
hp_13,False,0.0,"In Dragones, Hagrid decodest that the baby dragonk hechatoa anothir dregit name, thronthar theroarksthaof _ithin_ (which is dragondeeking",Norbert
hp_14,True,0.7666666666666667,"In Chapter 5 of ""The Lemoral Case,"" Cedric tells Henry to use the blue bathroom to help decode the riddle pertaining to the precious metal egg.,, According to the clturein the book,""[",the prefects' bathroom
hp_15,False,0.0,"It is not explicitly stated in the passage who Mr. Weevle said was at the Ministry, talking to Fudzeby. However, we can infer that it was someone important-looking person, because FDud mentioned"" They certainly",Lucius Malfoy
